,song,artist
21890,Circles,The New Seekers
21891,Papa Was A Rollin' Stone,The Undisputed Truth
21892,I Don't Need No Doctor,New Riders Of The Purple Sage
21893,I Thank You,Donny Hathaway And June Conquest
21894,You're The Man (Part 1),Marvin Gaye
21895,Woman Is The Nigger Of The World,John Lennon/Plastic Ono Band With Elephant's Memory
21896,Giving Up,Donny Hathaway
21897,"Just As Long As You Need Me, Part I",Independents
21898,Upsetter,Grand Funk Railroad
21899,Telegram Sam,T. Rex
21900,Vahevala,Kenny Loggins With Jim Messina
21901,Iko Iko,Dr. John
21902,Love's Street And Fool's Road,Solomon Burke
21903,What'd I Say,Rare Earth
21904,Cotton Jenny,Anne Murray
21905,Simple Song Of Freedom,Buckwheat
21906,Rockin' With The King,Canned Heat
21907,Since I Fell For You,Laura Lee
21908,What It Is,The Undisputed Truth
21909,Do What You Set Out To Do,Bobby Bland
21910,Cry,Lynn Anderson
21911,Move 'Em Out,Delaney & Bonnie
21912,Will You Still Love Me Tomorrow,Roberta Flack
21913,I Wrote A Simple Song,Billy Preston
21914,Baby Won't You Let Me Rock 'N Roll You,Ten Years After
21915,Another Puff,Jerry Reed
21916,So Many People,Chase
21917,Lay Lady Lay,The Isley Brothers
21918,I'm Still Waiting,Diana Ross
21919,Long Promised Road,The Beach Boys
21920,I Say A Little Prayer/By The Time I Get To Phoenix,Glen Campbell/Anne Murray
21921,You Think You're Hot Stuff,Jean Knight
21922,Mother,Barbra Streisand
21923,"Freedom Comes, Freedom Goes",The Fortunes
21924,Ghetto Woman,B.B. King
21925,Pin The Tail On The Donkey,The Newcomers
21926,Handbags And Gladrags,Chase
21927,He'd Rather Have The Rain,Heaven Bound with Tony Scotti
21928,A Part Of You,Brenda & The Tabulations
21929,Waiting At The Bus Stop,Bobby Sherman
21930,"Slipped, Tripped And Fell In Love",Clarence Carter
21931,We Got A Dream,Ocean
21932,Amanda,Dionne Warwicke
21933,We Are Neighbors,The Chi-lites
21934,You're The One For Me,Joe Simon
21935,Indian Summer,Audience
21936,Gonna Be Alright Now,Gayle McCormick
21937,Love Is Life,"Earth, Wind & Fire"
21938,I Love You Lady Dawn,The Bells
21939,Suspicious Minds,Dee Dee Warwick
21940,Day By Day (Every Minute of The Hour),The Continental 4
21941,You Gotta Have Love In Your Heart,The Supremes & Four Tops
21942,Flim Flam Man,Barbra Streisand
21943,Be Nice To Me,Runt-Todd Rundgren
21944,Who Gets The Guy,Dionne Warwick
21945,Nickel Song,The New Seekers featuring Eve Graham
21946,Don't Make Me Pay For His Mistakes,Z.Z. Hill
21947,Ain't It A Sad Thing,R. Dean Taylor
21948,The Look Of Love,Isaac Hayes
21949,Keep The Customer Satisfied,Gary Puckett
21950,Freedom,The Isley Brothers
21951,(She's A) Very Lovely Woman/The Long Way Around,Linda Ronstadt
21952,I Need You,The Friends Of Distinction
21953,Fly Little White Dove Fly,The Bells
21954,Holly Holy,Jr. Walker & The All Stars
21955,Heartbreak Hotel,Frijid Pink
21956,Sing High - Sing Low,Anne Murray
21957,When The Party Is Over,Robert John
21958,Simply Call It Love,Gene Chandler
21959,Beaucoups Of Blues,Ringo Starr
21960,I Need Help (I Can't Do It Alone) Pt. 1,Bobby Byrd
21961,Got To Believe In Love,Robin McNamara
21962,Just Let It Come,Alive 'N Kickin'
21963,Greenwood Mississippi,Little Richard
21964,Border Song,Elton John
21965,She Said Yes,Wilson Pickett
21966,I Can't Be You (You Can't Be Me),The Glass House
21967,Bring It On Home,Lou Rawls
21968,"Que Sera, Sera (Whatever Will Be, Will Be)",Mary Hopkin
21969,Superman,The Ides Of March
21970,The Witch,The Rattles
21971,Long And Lonesome Road,The Shocking Blue
21972,Friends,Feather
21973,He Made A Woman Out Of Me,Bobbie Gentry
21974,Brown Paper Bag,Syndicate Of Sound
21975,The Funniest Thing,Dennis Yost And The Classics IV
21976,I Could Write A Book,Jerry Butler
21977,Funky Drummer (Part 1),James Brown
21978,Living Loving Maid (She's Just A Woman),Led Zeppelin
21979,Add Some Music To Your Day,The Beach Boys
21980,"Silly, Silly, Fool",Dusty Springfield
21981,A Change Is Gonna Come & People Gotta Be Free/The Declaration,The 5th Dimension
21982,Keep On Doin',The Isley Brothers
21983,Down In The Alley,Ronnie Hawkins
21984,Shades Of Green,The Flaming Ember
21985,Got To See If I Can't Get Mommy (To Come Back Home),Jerry Butler
21986,If Walls Could Talk,Little Milton
21987,Mornin Mornin,Bobby Goldsboro
21988,"Barbara, I Love You",New Colony Six
21989,The Gangs Back Again,Kool & The Gang
21990,She Lets Her Hair Down (Early In The Morning),Gene Pitney
21991,Groovin' (Out On Life),The Newbeats
21992,I Started Loving You Again,Al Martino
21993,I'm Tired,Savoy Brown
21994,Swingin' Tight,Bill Deal & The Rhondels
21995,Just A Little Love,B.B. King
21996,I Still Believe In Tomorrow,John & Anne Ryder
21997,Shangri-La,The Lettermen
21998,Was It Good To You,The Isley Brothers
21999,Good Clean Fun,The Monkees
22000,The Weight,Supremes & Temptations
22001,Rain,Jose Feliciano
22002,All I Have To Offer You (Is Me),Charley Pride
22003,The Young Folks,Diana Ross & The Supremes
22004,Let Yourself Go,The Friends Of Distinction
22005,I've Lost Everything I've Ever Loved,David Ruffin
22006,Till You Get Enough,The Watts 103rd Street Rhythm Band
22007,(Sittin' On) The Dock Of The Bay,Sergio Mendes & Brasil '66
22008,Forever,Mercy
22009,"Theme From ""A Summer Place""",The Ventures
22010,Moments To Remember,The Vogues
22011,"Baby, Don't Be Looking In My Mind",Joe Simon
22012,I Can't Quit Her,The Arbors
22013,Love Man,Otis Redding
22014,I Threw It All Away,Bob Dylan
22015,It's Never Too Late,Steppenwolf
22016,I Shall Be Released,The Box Tops
22017,Happy Heart,Petula Clark
22018,Singing My Song,Tammy Wynette
22019,Badge,Cream
22020,When You Dance,Jay & The Americans
22021,Back In The U.S.S.R.,Chubby Checker
22022,A Million To One,Brian Hyland
22023,Zazueira (Za-zoo-wher-a),Herb Alpert & The Tijuana Brass
22024,Time Was,Canned Heat
22025,"No, Not Much",The Vogues
22026,Shotgun,Vanilla Fudge
22027,Soul Experience,Iron Butterfly
22028,Witchi Tai To,Everything Is Everything
22029,30-60-90,Willie Mitchell
22030,Grits Ain't Groceries (All Around The World),Little Milton
22031,River Deep-Mountain High,Deep Purple
22032,Hey! Baby,Jose Feliciano
22033,Almost Persuaded,Etta James
22034,Kay,"John Wesley Ryles, I"
22035,You've Got The Power,The Esquires
22036,The Thought Of Loving You,The Crystal Mansion
22037,Shout! - Part 1,Chambers Brothers
22038,Good Time Girl,Nancy Sinatra
22039,Keep On Dancing,Alvin Cash
22040,Do You Wanna Dance,The Mamas & The Papas
22041,The Star-Spangled Banner,Jose Feliciano
22042,California Earthquake,Mama Cass
22043,Sunday Sun,Neil Diamond
22044,Sweet Darlin',Martha Reeves & The Vandellas
22045,Harper Valley P.T.A. (Later That Same Day),Ben Colder
22046,Do What You Gotta Do,Nina Simone
22047,Ride My See-Saw,The Moody Blues
22048,Destination: Anywhere,The Marvelettes
22049,Smell Of Incense,Southwest F.O.B.
22050,You Put It On Me,B.B. King
22051,I Ain't Got To Love Nobody Else,The Masqueraders
22052,Puffin' On Down The Track,Hugh Masekela
22053,Horse Fever,Cliff Nobles & Co.
22054,For The Love Of Ivy,The Mamas & The Papas
22055,"The Biplane, Ever More",The Irish Rovers
22056,(There's) Always Something There To Remind Me,Dionne Warwick
22057,Unchained Melody,The Sweet Inspirations
22058,Down Here On The Ground,Lou Rawls
22059,Sally Had A Party,Flavor
22060,Keep The One You Got,Joe Tex
22061,Sudden Stop,Percy Sledge
22062,Somebody Cares,Tommy James And The Shondells
22063,Breaking Up Is Hard To Do,The Happenings
22064,Never Going Back,The Lovin' Spoonful
22065,Mr. Bojangles,Jerry Jeff Walker
22066,I'm Gonna Do What They Do To Me,B.B. King
22067,Amen,Otis Redding
22068,Hang 'Em High,"Hugo Montenegro, His Orchestra And Chorus"
22069,Look Over Your Shoulder,The O'Jays
22070,People Sure Act Funny,Arthur Conley
22071,Let Yourself Go,Elvis Presley With The Jordanaires
22072,Let Me Be Lonely,Dionne Warwick
22073,Ain't Nothin' But A House Party,The Show Stoppers
22074,I'll Never Do You Wrong,Joe Tex
22075,Jelly Jungle (Of Orange Marmalade),Lemon Pipers
22076,Anyone For Tennis,Cream
22077,You Ain't Going Nowhere,The Byrds
22078,Here's To You,Hamilton Camp
22079,Chain Gang,Jackie Wilson & Count Basie
22080,I Can't Believe I'm Losing You,Frank Sinatra
22081,Funky Walk Part I (East),Dyke And The Blazers
22082,Show Time,Detroit Emeralds
22083,Your Heart Is Free Just Like The Wind,Vikki Carr
22084,Sit With The Guru,Strawberry Alarm Clock
22085,Stay Away,Elvis Presley With The Jordanaires
22086,Tin Soldier,Small Faces
22087,At The Top Of The Stairs,The Formations
22088,I'll Say Forever My Love,Jimmy Ruffin
22089,Turn On Your Love Light,The Human Beinz
22090,(Sittin' On) The Dock Of The Bay,King Curtis & The Kingpins
22091,The Ten Commandments Of Love,Peaches & Herb
22092,Jealous Love,Wilson Pickett
22093,"Look, Here Comes The Sun",The Sunshine Company
22094,Thank U Very Much,The Scaffold
22095,(1-2-3-4-5-6-7) Count The Days,Inez & Charlie Foxx
22096,Burning Spear,The Soulful Strings
22097,Stop,Howard Tate
22098,I'm Coming Home,Tom Jones
22099,In Another Land,Bill Wyman
22100,Georgia Pines,The Candymen
22101,Where Is The Party,Helena Ferguson
22102,Homburg,Procol Harum
22103,This Town,Frank Sinatra
22104,"Wake Up, Wake Up",The Grass Roots
22105,For Once In My Life,Tony Bennett
22106,Are You Never Coming Home,Sandy Posey
22107,Can't Stop Loving You,The Last Word
22108,King Midas In Reverse,The Hollies
22109,Fall In Love With Me,Bettye Swann
22110,To Share Your Love,Fantastic Four
22111,Baby I'm Lonely,The Intruders
22112,Sunshine Games,The Music Explosion
22113,Judy,Elvis Presley
22114,I Want To Love You For What You Are,Ronnie Dove
22115,A Woman's Hands,Joe Tex
22116,Baby You're A Rich Man,The Beatles
22117,Slim Jenkin's Place,Booker T. & The MG's
22118,Don't You Miss Me A Little Bit Baby,Jimmy Ruffin
22119,I'll Turn To Stone,Four Tops
22120,The Happening,Herb Alpert & The Tijuana Brass
22121,My Elusive Dreams,David Houston & Tammy Wynette
22122,Take Me (Just As I Am),Solomon Burke
22123,My World Fell Down,Sagittarius
22124,Soul Dance Number Three,Wilson Pickett
22125,I Stand Accused (Of Loving You),The Glories
22126,One By One,Blues Magoos
22127,Why (Am I Treated So Bad),The Sweet Inspirations
22128,Night And Day,Sergio Mendes & Brasil '66
22129,You Can't Stand Alone,Wilson Pickett
22130,Long Legged Girl (With The Short Dress On),Elvis Presley With The Jordanaires
22131,Am I Grooving You,Freddie Scott
22132,We Had A Good Thing Goin',The Cyrkle
22133,Love Me Forever,Roger Williams
22134,Lay Some Happiness On Me,Dean Martin
22135,A Beautiful Story,Sonny & Cher
22136,Just Look What You've Done,Brenda Holloway
22137,I'll Make Him Love Me,Barbara Lewis
22138,I'm Indestructible,Jack Jones
22139,The Lady Came From Baltimore,Bobby Darin
22140,Why? (Am I Treated So Bad),Cannonball Adderley
22141,The Girl I Knew Somewhere,The Monkees
22142,Cry To Me,Freddie Scott
22143,Wade In The Water,Herb Alpert & The Tijuana Brass
22144,"Mercy, Mercy, Mercy",Marlena Shaw
22145,Kansas City,James Brown And The Famous Flames
22146,Because Of You,Chris Montez
22147,Hung Up In Your Eyes,Brian Hyland
22148,"Baby, Help Me",Percy Sledge
22149,Keep A Light In The Window Till I Come Home,Solomon Burke
22150,Every Day I Have The Blues,Billy Stewart
22151,My Special Prayer,Joe Simon
22152,"Sunrise, Sunset",Roger Williams
22153,Danger! She's A Stranger,The Five Stairsteps
22154,Oh Yeah!,The Joe Cuba Sextet
22155,I Got To Go Back (And Watch That Little Girl Dance),The McCoys
22156,The Girl That Stood Beside Me,Bobby Darin
22157,Please Don't Ever Leave Me,The Cyrkle
22158,Can I Get To Know You Better,The Turtles
22159,Up Tight,Ramsey Lewis
22160,I've Got To Do A Little Bit Better,Joe Tex
22161,"Don't Worry Mother, Your Son's Heart Is Pure",The McCoys
22162,Take Good Care Of Her,Mel Carter
22163,Poverty,Bobby Bland
22164,Tomorrow Never Comes,B.J. Thomas
22165,My Uncle Used To Love Me But She Died,Roger Miller
22166,It Hurts Me,Bobby Goldsboro
22167,"Dianne, Dianne",Ronny And The Daytonas
22168,My Sweet Potato,Booker T. & The MG's
22169,She Drives Me Out Of My Mind,The Swingin' Medallions
22170,Too Soon To Know,Roy Orbison
22171,Livin' Above Your Head,Jay & The Americans
22172,I Believe I'm Gonna Make It,Joe Tex
22173,5 D (Fifth Dimension),The Byrds
22174,Friday's Child,Nancy Sinatra
22175,Lonely Soldier,Mike Williams
22176,Hey You! Little Boo-Ga-Loo,Chubby Checker
22177,Painter,Lou Christie
22178,La Bamba - Part I,Trini Lopez
22179,What Am I Going To Do Without Your Love,Martha & The Vandellas
22180,When A Woman Loves A Man,Esther Phillips
22181,It's An Uphill Climb To The Bottom,Walter Jackson
22182,Break Out,Mitch Ryder And The Detroit Wheels
22183,Think Of Me,Buck Owens and The Buckaroos
22184,Come On And See Me,Tammi Terrell
22185,Don't Touch Me,Jeannie Seely
22186,I Know You Better Than That,Bobby Goldsboro
22187,Everyday I Have To Cry,The Gentrys
22188,Truly Julie's Blues (I'll Be There),Bob Lind
22189,Please Don't Sell My Daddy No More Wine,The Greenwoods
22190,Love Takes A Long Time Growing,Deon Jackson
22191,The Cruel War,"Peter, Paul & Mary"
22192,Remember The Rain,Bob Lind
22193,Pin The Tail On The Donkey,Paul Peek
22194,Real Humdinger,J.J. Barnes
22195,Hi Heel Sneakers - Pt. 1,Ramsey Lewis Trio
22196,Sippin' 'N Chippin',The T-Bones
22197,Philly Dog,The Mar-Keys
22198,Wait A Minute,Tim Tam And The Turn-Ons
22199,Tears,Bobby Vinton
22200,Whenever She Holds You,Patty Duke
22201,Batman,Jan & Dean
22202,It Won't Be Wrong,The Byrds
22203,Georgia On My Mind,The Righteous Brothers
22204,Red Hot,Sam The Sham and the Pharaohs
22205,My Ship Is Comin' In,The Walker Bros.
22206,The Loop,Johnny Lytle
22207,Something I Want To Tell You,Johnny and The Expressions
22208,My Generation,The Who
22209,I Can't Believe You Love Me,Tammi Terrell
22210,Spanish Harlem,King Curtis
22211,Don't Look Back,The Temptations
22212,Just One More Day,Otis Redding
22213,Everybody Do The Sloopy,Johnny Thunder
22214,Honky Tonk '65,Lonnie Mack
22215,Don't Have To Shop Around,The Mad Lads
22216,The Letter,Sonny & Cher
22217,Just Yesterday,Jack Jones
22218,Just One Kiss From You,The Impressions
22219,Funny Little Butterflies,Patty Duke
22220,Tossing & Turning,The Ivy League
22221,N-E-R-V-O-U-S!,Ian Whitcomb
22222,Home Of The Brave,Bonnie & The Treasures
22223,If You Wait For Love,Bobby Goldsboro
22224,You're Gonna Make Me Cry,O.V. Wright
22225,You're My Baby (And Don't You Forget It),The Vacels
22226,The Loser,The Skyliners
22227,"Theme From ""Harlow"" (Lonely Girl)",Bobby Vinton
22228,Watermelon Man,Gloria Lynne
22229,Temptation 'Bout To Get Me,The Knight Bros.
22230,When A Boy Falls In Love,Sam Cooke
22231,Operator,Brenda Holloway
22232,Soul Sauce (Guacha Guaro),Cal Tjader
22233,The Puzzle Song (A Puzzle In Song),Shirley Ellis
22234,You Can Have Her,The Righteous Brothers
22235,Keep On Trying,Bobby Vee
22236,Georgie Porgie,Jewel Akens
22237,Gotta Have Your Love,The Sapphires
22238,Good Lovin',The Olympics
22239,Come On Over To My Place,The Drifters
22240,Super-cali-fragil-istic-expi-ali-docious,Julie Andrews-Dick Van Dyke
22241,"Chim, Chim, Cheree",The New Christy Minstrels
22242,Toy Soldier,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
22243,Why Did I Choose You,Barbra Streisand
22244,Come Back Baby,Roddie Joy
22245,Poor Man's Son,The Reflections
22246,(Here They Come) From All Over The World,Jan & Dean
22247,Gee Baby (I'm Sorry),The Three Degrees
22248,Please Let Me Wonder,The Beach Boys
22249,4 - By The Beatles,The Beatles
22250,Like A Child,Julie Rogers
22251,It's Gotta Last Forever,Billy J. Kramer With The Dakotas
22252,Goldfinger,Jack Laforge His Piano and Orchestra
22253,Don't Come Running Back To Me,Nancy Wilson
22254,Married Man,Richard Burton
22255,Comin' On Too Strong,Wayne Newton
22256,"No Faith, No Love",Mitty Collier
22257,You'll Always Be The One I Love,Dean Martin
22258,(There'll Come A Day When) Ev'ry Little Bit Hurts,Bobby Vee
22259,Without The One You Love (Life's Not Worth While),Four Tops
22260,The Price,Solomon Burke
22261,Almost There,Andy Williams
22262,California Bound,Ronny And The Daytonas
22263,Little Honda,The Beach Boys
22264,Look Away,Garnet Mimms
22265,Up Above My Head (I Hear Music In The Air),Al (He's the King) Hirt
22266,I Wanna Be With You,Nancy Wilson
22267,Baby Baby All The Time,The Superbs
22268,Beach Girl,Pat Boone
22269,It's All Over,Ben E. King
22270,I Guess I'm Crazy,Jim Reeves
22271,Lovers Always Forgive,Gladys Knight And The Pips
22272,I'll Always Love You,Brenda Holloway
22273,If I'm A Fool For Loving You,Bobby Wood
22274,A Tear Fell,Ray Charles
22275,Frankie And Johnny,The Greenwood County Singers
22276,Summer Means Fun,Bruce & Terry
22277,Sole Sole Sole,Siw Malmkvist-Umberto Marcato
22278,I Can't Hear You,Betty Everett
22279,The Mexican Shuffle,Herb Alpert's Tijuana Brass
22280,Everybody Knows,Steve Lawrence
22281,I Wanna Be Loved,Dean And Jean
22282,I Don't Wanna Be A Loser,Lesley Gore
22283,Yesterday's Hero,Gene Pitney
22284,Tea For Two,Nino Tempo & April Stevens
22285,The Loneliest Night,Dale & Grace
22286,Who's Afraid Of Virginia Woolf? (Part I),Jimmy Smith
22287,Slip-In Mules (No High Heel Sneakers),Sugar Pie DeSanto
22288,I Should Care,Gloria Lynne
22289,Mexican Drummer Man,Herb Alpert's Tijuana Brass
22290,When Joanna Loved Me,Tony Bennett
22291,We Love You Beatles,The Carefrees
22292,You Lied To Your Daddy,The Tams
22293,High On A Hill,Scott English
22294,Congratulations,Rick Nelson
22295,(You Can't Let The Boy Overpower) The Man In You,The Miracles
22296,Out Of Sight - Out Of Mind,Sunny & The Sunliners
22297,Leaving Here,Eddie Holland
22298,Shimmy Shimmy,The Orlons
22299,Comin' On,Bill Black's Combo
22300,"Saginaw, Michigan",Lefty Frizzell
22301,(It's No) Sin,The Duprees featuring Joey Vann
22302,Tonight You're Gonna Fall In Love With Me,The Shirelles
22303,Deep In The Heart Of Harlem,Clyde McPhatter
22304,Who Cares,Fats Domino
22305,Snap Your Fingers,Barbara Lewis
22306,Baby's Gone,Gene Thomas
22307,Cold Cold Winter,The Pixies Three
22308,Begging To You,Marty Robbins
22309,Baby I Do Love You,The Galens
22310,She's Got Everything,The Essex Featuring Anita Humes
22311,Crossfire Time,Dee Clark
22312,I Am A Witness,Tommy Hunt
22313,Any Other Way,Chuck Jackson
22314,Cuando Calienta El Sol (When The Sun Is Hot),Steve Allen and His Orchestra with The Copacabana Trio
22315,"Signed, Sealed, And Delivered",James Brown And The Famous Flames
22316,Sweet Impossible You,Brenda Lee
22317,Little Eeefin Annie,Joe Perkins
22318,Baby Get It (And Don't Quit It),Jackie Wilson
22319,Teenage Cleopatra,Tracey Dey
22320,"Something Old, Something New",Paul and Paula
22321,Love Me All The Way,Kim Weston
22322,This Is All I Ask,Burl Ives
22323,How Many Teardrops,Lou Christie
22324,Will Power,The Cookies
22325,Like The Big Guys Do,The Rocky Fellers
22326,Antony And Cleopatra Theme,Ferrante & Teicher
22327,My Block,The Four Pennies
22328,"Lonely Boy, Lonely Guitar",Duane Eddy
22329,The Last Leaf,The Cascades
22330,"Ronnie, Call Me When You Get A Chance",Shelley Fabares
22331,Memory Lane,The Hippies (Formerly The Tams)
22332,Ask Me,Maxine Brown
22333,Preacherman,Charlie Russo
22334,This Empty Place,Dionne Warwick
22335,Don't Wanna Think About Paula,Dickey Lee
22336,Ridin' The Wind,The Tornadoes
22337,"Hi-Lili, Hi-Lo",Richard Chamberlain
22338,I Really Don't Want To Know,Little Esther Phillips
22339,Leavin' On Your Mind,Patsy Cline
22340,Al Di La,Connie Francis
22341,Willie Can,Sue Thompson
22342,Walk Right In,The Moments
22343,Jellybread,Booker T. & The MG's
22344,Trouble In Mind,Aretha Franklin
22345,Baby Has Gone Bye Bye,George Maharis
22346,If You Were A Rock And Roll Record,Freddy Cannon
22347,Did You Ever See A Dream Walking,Fats Domino
22348,The Swiss Maid,Del Shannon
22349,What Time Is It?,The Jive Five With Eugene Pitts
22350,Glory Of Love,Don Gardner And Dee Dee Ford
22351,Just Tell Her Jim Said Hello,Elvis Presley With The Jordanaires
22352,Reap What You Sow,Billy Stewart
22353,My Daddy Is President,Little Jo Ann
22354,La Bomba,The Tokens
22355,If I Should Lose You,Dreamlovers
22356,"Goodnight, Irene",Jerry Reed And The Hully Girlies
22357,Nothing New (Same Old Thing),Fats Domino
22358,Dr. Ben Basey,Mickey Shorr and The Cutups
22359,Let Me Be The One,The Paris Sisters
22360,Deep In The Heart Of Texas,Duane Eddy
22361,Patricia - Twist,Perez Prado And His Orchestra
22362,Thou Shalt Not Steal,John D. Loudermilk
22363,What Am I Supposed To Do,Ann-Margret
22364,A Girl Has To Know,The G-Clefs
22365,B'wa Nina (Pretty Girl),The Tokens
22366,Tears And Laughter,Dinah Washington
22367,"Aw Shucks, Hush Your Mouth",Jimmy Reed
22368,My Melancholy Baby,The Marcels
22369,Let Me Call You Sweetheart,Timi Yuro
22370,Love Is The Sweetest Thing,Saverio Saridis
22371,"I Surrender, Dear",Aretha Franklin
22372,A Little Too Much,Clarence Henry
22373,Twistin' All Night Long,Danny & The Juniors with Freddy Cannon
22374,Room Full Of Tears,The Drifters
22375,Baby's First Christmas,Connie Francis
22376,I Cried My Last Tear,Ernie K-Doe
22377,On Bended Knees,Clarence Henry
22378,I Wonder (If Your Love Will Ever Belong To Me),The Pentagons
22379,School Is In,Gary U.S. Bonds
22380,Somewhere Along The Way,Steve Lawrence
22381,It's Just A House Without You,Brook Benton
22382,Back To The Hop,Danny & The Juniors
22383,Juke Box Saturday Night,Nino & The Ebb Tides
22384,My Blue Heaven,Duane Eddy And The Rebels
22385,Keep On Dancing,Hank Ballard And The Midnighters
22386,Starlight,The Preludes Five
22387,Pitter-Patter,The Four Sportsmen
22388,San-Ho-Zay,Freddy King
22389,"Big River, Big Man",Claude King
22390,Teardrops In My Heart,Joe Barry
22391,I Never Knew,Clyde McPhatter
22392,Tears On My Pillow,The McGuire Sisters
22393,Mr. Happiness,Johnny Maestro with The Coeds
22394,My Claire De Lune,Steve Lawrence
22395,If,The Paragons
22396,Ready For Your Love,Shep And The Limelites
22397,What Would You Do?,Jim Reeves
22398,La Dolce Vita (The Sweet Life),Ray Ellis And His Orchestra
22399,The Graduation Song... Pomp And Circumstance,Adrian Kimberly
22400,Te-Ta-Te-Ta-Ta,Ernie K-Doe
22401,I've Got News For You,Ray Charles
22402,Yellow Bird,Lawrence Welk And His Orchestra
22403,Blue Tomorrow,Billy Vaughn And His Orchestra
22404,Wild In The Country,Elvis Presley With The Jordanaires
22405,Hold Back The Tears,The Delacardos
22406,Jimmy Martinez,Marty Robbins
22407,Miss Fine,The New Yorkers
22408,(I've Got) Spring Fever,Little Willie John
22409,In My Heart,The Timetones
22410,You'd Better Come Home,Russell Byrd
22411,Son-In-Law,Louise Brown
22412,Be My Boy,Paris Sisters
22413,Lullaby Of The Leaves,The Ventures
22414,Frogg,The Brothers Four
22415,Seventeen,Frankie Ford
22416,Blue Moon,Herb Lance & The Classics
22417,Little Miss Stuck-Up,The Playmates
22418,Lonely Man,Elvis Presley With The Jordanaires
22419,More Than I Can Say,Bobby Vee
22420,Keep Your Hands Off Of Him,Damita Jo
22421,The Most Beautiful Words,Della Reese
22422,Leave My Kitten Alone,Johnny Preston
22423,Charlena,The Sevilles
22424,Sugar Bee,Cleveland Crochet and Band
22425,"Oh, How I Miss You Tonight",Jeanne Black
22426,In The Still Of The Nite,The Five Satins
22427,Your Other Love,The Flamingos
22428,Ramona,The Blue Diamonds
22429,Have You Ever Been Lonely (Have You Ever Been Blue),Teresa Brewer
22430,Gee,Jan & Dean
22431,The Big Time Spender (Parts I & II),Cornbread & Biscuits
22432,Cry Cry Cry,Bobby Bland
22433,Whole Lot Of Shakin' Going On,Conway Twitty
22434,If She Should Come To You (La Montana),Anthony Newley
22435,Everglades,The Kingston Trio
22436,Just A Little,Brenda Lee
22437,Let The Good Times Roll,Shirley & Lee
22438,And Now,Della Reese
22439,This Old Heart,James Brown And The Famous Flames
22440,How High The Moon (Part 1),Ella Fitzgerald
22441,"Far, Far Away",Don Gibson
22442,Happy Shades Of Blue,Freddie Cannon
22443,Night Train,The Viscounts
22444,That's When I Cried,Jimmy Jones
22445,Be Bop A-Lula,The Everly Brothers
22446,Too Young To Go Steady,Connie Stevens
22447,Comin' Down With Love,Mel Gadson
22448,Rockin' Red Wing,Sammy Masters
22449,Alvin's Orchestra,David Seville And The Chipmunks
22450,Sleepy Lagoon,The Platters
22451,I Was Such A Fool (To Fall In Love With You),The Flamingos
22452,That Old Feeling,Kitty Kallen
22453,This Time Of The Year,Brook Benton
22454,Climb Ev'ry Mountain,Tony Bennett
22455,Beyond The Sunset,Pat Boone
22456,The Best Of Everything,Johnny Mathis
22457,"There, I've Said It Again",Sam Cooke
22458,Happy Anniversary,The Four Lads
22459,Fancy Nancy,Skip And Flip
22460,There Comes A Time,Jack Scott
22461,I'll Be Seeing You,Tommy Sands
22462,Got The Feeling,Fabian
22463,Two Fools,Frankie Avalon
22464,Mau-Mau,The Wailers
22465,Miami,Eugene Church
22466,A Girl Like You,Gary Stites
22467,Crackin Up,Bo Diddley
22468,"Oh, What A Fool",The Impalas
22469,La Plume De Ma Tante,Hugo & Luigi
22470,White Lightning,George Jones
22471,Talk Of The School,Sonny James
22472,Castin' My Spell,The Johnny Otis Show
22473,There's No Fool Like A Young Fool,Tab Hunter
22474,Your Cheatin' Heart,Billy Vaughn And His Orchestra
22475,I Need Your Lovin',Roy Hamilton
22476,I Told Myself A Lie,Clyde McPhatter
22477,77 Sunset Strip,The Big Sound Of Don Ralke
22478,Because You're Young,Jimmie Rodgers
22479,"No Other Arms, No Other Lips",The Four Aces
22480,The Answer To A Maiden's Prayer,June Valli
22481,Shirley,John Fred And The Playboys
22482,Miss You,Jaye P. Morgan
22483,Anthony Boy,Chuck Berry
22484,Wicked Ruby,Danny Zella and his Zell Rocks
22485,Here I Stand,Wade Flemons and the Newcomers
22486,Yellow Bird,The Mills Brothers
22487,The One Rose (That's Left In My Heart),Teresa Brewer
22488,(I Wanna) Dance With The Teacher,The Olympics
22489,Need Your Love,Bobby Freeman
22490,Joe Joe Gunne,Chuck Berry
22491,"A House, A Car And A Wedding Ring",Dale Hawkins
22492,The Hula Hoop Song,Georgia Gibbs
22493,Hoopa Hoola,Betty Johnson
22494,Just Young,Paul Anka
22495,The Hula Hoop Song,Teresa Brewer
22496,Real Wild Child,Ivan
22497,Break-Up,Jerry Lee Lewis And His Pumping Piano
22498,Please Don't Do It,Dale Wright And The Wright Guys With the Dons
22499,Fire Of Love,Jody Reynolds
22500,My Life,Chuck Willis
22501,Alone With You,Faron Young
22502,Hey Girl - Hey Boy,Oscar McLollie and Jeanette Baker
22503,Leroy,Jack Scott
22504,For Your Precious Love,Jerry Butler and The Impressions
22505,Don't Ask Me Why,Elvis Presley With The Jordanaires
22506,Do You Want To Dance,Bobby Freeman
22507,Whiskey And Rain,Michael Ray
22508,Jugaste y Sufri,Eslabon Armado Featuring DannyLux
