song,artist
I'll Make You Music,Beverly Bremers
(It's The Way) Nature Planned It,Four Tops
Sweet Caroline (Good Times Never Seemed So Good),Bobby Womack & Peace
Toast To The Fool,The Dramatics
If You Leave Me Tonight I'll Cry,Jerry Wallace
Rock Me On The Water,Jackson Browne
The Coldest Days Of My Life (Part 1),The Chi-lites
Put It Where You Want It,The Crusaders
A Simple Man,Lobo
Hold Her Tight,The Osmonds
I Miss You (Part I),Harold Melvin And The Blue Notes
If I Were A Carpenter,Bob Seger
Starman,David Bowie
The Runway,The Grass Roots
Too Young,Donny Osmond
Butterfly,Danyel Gerard
Vanilla Ólay,Jackie DeShannon
Victim Of A Foolish Heart,Bettye Swann
Amazing Grace,The Pipes And Drums And The Military Band Of The Royal Scots Dragoon Guards
How Can I Be Sure,David Cassidy
Francene,ZZ Top
Immigration Man,Graham Nash & David Crosby
Automatically Sunshine,The Supremes
Woman's Gotta Have It,(The Preacher) Bobby Womack
Old Man,Neil Young
Little Bitty Pretty One,Jackson 5
"Love Theme From ""The Godfather""",Carlo Savina
Lay-Away,The Isley Brothers
The Family Of Man,Three Dog Night
I Had It All The Time,Tyrone Davis
Jubilation,Paul Anka
Jump Into The Fire,Nilsson
Your Precious Love,Linda Jones
Could It Be Forever,David Cassidy
Waking Up Alone,Paul Williams
No One To Depend On,Santana
Ring The Living Bell,Melanie
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Donnie Elbert
Until It's Time For You To Go,Elvis Presley
"Love Me, Love Me Love",Frank Mills
(Oh Lord Won't You Buy Me A) Mercedes Benz,Goose Creek Symphony
Diamonds Are Forever,Shirley Bassey
Way Back Home,Jr. Walker & The All Stars
Those Were The Days,Carroll O'Connor And Jean Stapleton (As The Bunkers)
Five Hundred Miles,Heaven Bound with Tony Scotti
Sour Suite,The Guess Who
Nothing To Hide,Tommy James
(I Know) I'm Losing You,Rod Stewart With Faces
Can I Get A Witness,Lee Michaels
Satisfaction,Smokey Robinson & The Miracles
Stones/Crunchy Granola Suite,Neil Diamond
Rock Steady,Aretha Franklin
Imagine,John Lennon Plastic Ono Band
Inner City Blues (Make Me Wanna Holler),Marvin Gaye
It's Impossible,The New Birth
What Are You Doing Sunday,Dawn Featuring Tony Orlando
That's The Way A Woman Is,Messengers
Make It Funky (Part 1),James Brown
Roll On,The New Colony Six
Crazy Love,Helen Reddy
"Take Me Girl, I'm Ready",Jr. Walker & The All Stars
Sweet Hitch-Hiker,Creedence Clearwater Revival
Mother Freedom,Bread
"What The World Needs Now Is Love/Abraham, Martin and John",Tom Clay
Maybe Tomorrow,Jackson 5
I'm Leavin',Elvis Presley
He's So Fine,Jody Miller
She Didn't Do Magic/I'm The Only One,Lobo
Rainy Jane,Davy Jones
Change Partners,Stephen Stills
Double Lovin',The Osmonds
Never Can Say Goodbye,Isaac Hayes
I'll Meet You Halfway,The Partridge Family Starring Shirley Jones Featuring David Cassidy
Spinning Around (I Must Be Falling In Love),The Main Ingredient
L.A. International Airport,Susan Raye
Power To The People,John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band
Friends,Elton John
L.A. Goodbye,The Ides Of March
What Is Life,George Harrison
Soul Power (Pt. 1),James Brown
You're All I Need To Get By,Aretha Franklin
Free,Chicago
Cried Like A Baby,Bobby Sherman
Angel Baby,Dusk
Theme From Love Story,Francis Lai And His Orchestra
Bed Of Rose's,The Statler Brothers
Fresh As A Daisy,Emitt Rhodes
When I'm Dead And Gone,McGuinness Flint
Apeman,The Kinks
I Really Don't Want To Know/There Goes My Everything,Elvis Presley
The Green Grass Starts To Grow,Dionne Warwick
Silver Moon,Michael Nesmith & The First National Band
All I Have,The Moments
It's All In Your Mind,Clarence Carter
Big Leg Woman (With A Short Short Mini Skirt),"Israel ""Popper Stopper"" Tolbert"
"Don't Try To Lay No Boogie Woogie On The ""King Of Rock & Roll""",CROW
I Am Somebody Part II,Johnnie Taylor
Cry Me A River,Joe Cocker
Fresh Air,Quicksilver Messenger Service
Our House,"Crosby, Stills, Nash & Young"
"God, Love And Rock & Roll",Teegarden & Van Winkle
Seems Like I Gotta Do Wrong,The Whispers
Something,Shirley Bassey
I Do Take You,The Three Degrees
I Just Wanna Keep It Together,Paul Davis
I Stand Accused,Isaac Hayes
Neanderthal Man,Hotlegs
Rubber Duckie,Ernie (Jim Henson)
Everything's Tuesday,Chairman Of The Board
I've Lost You/The Next Step Is Love,Elvis Presley
Black Fox,Freddy Robinson
Get Up (I Feel Like Being Like A) Sex Machine (Part 1),James Brown
Summertime Blues,The Who
Stealing In The Name Of The Lord,Paul Kelly
Ohio,"Crosby, Stills, Nash & Young"
I'll Be Right Here,Tyrone Davis
You've Been My Inspiration,The Main Ingredient
Pearl,Tommy Roe
Cinnamon Girl,Neil Young & Crazy Horse
A Song Of Joy (Himno A La Alegria),Miguel Rios
Trying To Make A Fool Of Me,The Delfonics
Ain't That Loving You (For More Reasons Than One),Luther Ingram
Freedom Blues,Little Richard
"Hey, Mister Sun",Bobby Sherman
Daughter Of Darkness,Tom Jones
(You've Got Me) Dangling On A String,Chairman Of The Board
Reach Out And Touch (Somebody's Hand),Diana Ross
Viva Tirado - Part I,El Chicano
Everybody's Out Of Town,B.J. Thomas
Celebrate,Three Dog Night
To The Other Woman (I'm The Other Woman),Doris Duke
Kentucky Rain,Elvis Presley
My Elusive Dreams,Bobby Vinton
1984,Spirit
Victoria,The Kinks
Honey Come Back,Glen Campbell
Blowing Away,The 5th Dimension
Won't Find Better (Than Me),The New Hope
When Julie Comes Around,The Cuff Links
I Love You,Otis Leavill
Sunday Mornin',Oliver
Kozmic Blues,Janis Joplin
You Got To Pay The Price,Gloria Taylor
Make Your Own Kind Of Music,Mama Cass Elliot
Crumbs Off The Table,The Glass House
Say You Love Me,The Impressions
So Good Together,Andy Kim
Doin' Our Thing,Clarence Carter
Echo Park,Keith Barbour
The Colour Of My Love,Jefferson
Make Believe,Wind
Sad Girl,The Intruders
Here I Go Again,Smokey Robinson & The Miracles
What Kind Of Fool Do You Think I Am,Bill Deal & The Rhondels
Move Over,Steppenwolf
Muddy Mississippi Line,Bobby Goldsboro
Hook And Sling-Part I,Eddie Bo
Give Peace A Chance,Plastic Ono Band
"Out Of Sight, Out Of Mind",Little Anthony And The Imperials
The Ballad Of John And Yoko,The Beatles
"Don't Wake Me Up In The Morning, Michael",Peppermint Rainbow
Tell All The People,The Doors
The Popcorn,James Brown
Welcome Me Love,The Brooklyn Bridge Featuring Johnny Maestro
Special Delivery,1910 Fruitgum Co.
"Friend, Lover, Woman, Wife",O.C. Smith
Testify (I Wonna),Johnnie Taylor
Goodbye,Mary Hopkin
Don't Give In To Him,Gary Puckett And The Union Gap
Give It Up Or Turnit A Loose,James Brown
Let It Be Me,Glen Campbell & Bobbie Gentry
Take Care Of Your Homework,Johnnie Taylor
Kum Ba Yah,Tommy Leonetti
I Forgot To Be Your Lover,William Bell
Does Anybody Know I'm Here,The Dells
California Soul,The 5th Dimension
Hey Jude,Wilson Pickett
"Soul Sister, Brown Sugar",Sam & Dave
Ready Or Not Here I Come (Can't Hide From Love),The Delfonics
California Dreamin',Bobby Womack
Bella Linda,The Grass Roots
Papa's Got A Brand New Bag,Otis Redding
Scarborough Fair,Sergio Mendes & Brasil '66
Just Ain't No Love,Barbara Acklin
I Put A Spell On You,Creedence Clearwater Revival
"Promises, Promises",Dionne Warwick
Not Enough Indians,Dean Martin
Goody Goody Gumdrops,1910 Fruitgum Co.
Les Bicyclettes De Belsize,Engelbert Humperdinck
Do Something To Me,Tommy James And The Shondells
Court Of Love,The Unifics
All Along The Watchtower,The Jimi Hendrix Experience
I Love You Madly,Fantastic Four
"Baby, Come Back",The Equals
(The Lament Of The Cherokee) Indian Reservation,Don Fardon
Who Is Gonna Love Me?,Dionne Warwick
Don't Change Your Love,Five Stairsteps & Cubie
The House That Jack Built,Aretha Franklin
Special Occasion,Smokey Robinson & The Miracles
Magic Bus,The Who
Down At Lulu's,Ohio Express
I've Never Found A Girl (To Love Me Like You Do),Eddie Floyd
(Love Is Like A) Baseball Game,The Intruders
Autumn Of My Life,Bobby Goldsboro
Hitch It To The Horse,The Fantastic Johnny C
Don't Take It So Hard,Paul Revere & The Raiders Featuring Mark Lindsay
Here I Am Baby,The Marvelettes
Hold On,Radiants
Tip-Toe Thru' The Tulips With Me,Tiny Tim
A Man Without Love (Quando M'innamoro),Engelbert Humperdinck
I'm Sorry,The Delfonics
My Girl/Hey Girl,Bobby Vee
Unwind,Ray Stevens
I Got A Sure Thing,Ollie & The Nightingales
U.S. Male,Elvis Presley With The Jordanaires
Forever Came Today,Diana Ross & The Supremes
Jennifer Juniper,Donovan
Little Green Apples,Roger Miller
Love Is Blue (L'Amour Est Bleu),Claudine Longet
I'm Gonna Make You Love Me,Madeline Bell
Everything That Touches You,The Association
Carpet Man,The 5th Dimension
We Can Fly,The Cowsills
Darlin',The Beach Boys
"Oh, How It Hurts",Barbara Mason
Monterey,Eric Burdon & The Animals
I Can't Stand Myself (When You Touch Me),James Brown And The Famous Flames
Storybook Children,Billy Vera & Judy Clay
Cross My Heart,Billy Stewart
I'll Be Sweeter Tomorrow (Than I Was Today),The O'Jays
Neon Rainbow,The Box Tops
(Loneliness Made Me Realize) It's You That I Need,The Temptations
Shame On Me,Chuck Jackson
Love Is Strange,Peaches & Herb
(You Make Me Feel Like) A Natural Woman,Aretha Franklin
Holiday,Bee Gees
Karate-Boo-Ga-Loo,Jerryo
People Are Strange,The Doors
The Last Waltz,Engelbert Humperdinck
Nine Pound Steel,Joe Simon
Let Love Come Between Us,James & Bobby Purify
Memphis Soul Stew,King Curtis
Casonova (Your Playing Days Are Over),Ruby Andrews
Love Bug Leave My Heart Alone,Martha & The Vandellas
I Had A Dream,Paul Revere & The Raiders Featuring Mark Lindsay
You've Got To Pay The Price,Al Kent
There Is A Mountain,Donovan
Knock On Wood,Otis & Carla
"Run, Run, Run",The Third Rail
The Windows Of The World,Dionne Warwick
Words,The Monkees
A Girl Like You,The Young Rascals
To Love Somebody,Bee Gees
Everybody Needs Love,Gladys Knight And The Pips
Jackson,Nancy Sinatra & Lee Hazlewood
You Only Live Twice,Nancy Sinatra
Step Out Of Your Mind,The American Breed
The Tracks Of My Tears,Johnny Rivers
For Your Precious Love,"Oscar Toney, Jr."
Don't Blame The Children,Sammy Davis Jr.
Tramp,Otis & Carla
Him Or Me - What's It Gonna Be?,Paul Revere & The Raiders
Creeque Alley,The Mamas & The Papas
Together,The Intruders
Shake A Tail Feather,James & Bobby Purify
Happy Jack,The Who
My Girl Josephine,Jerry Jaye
Casino Royale,Herb Alpert & The Tijuana Brass
When I Was Young,Eric Burdon & The Animals
I'm A Man,The Spencer Davis Group
The Whole World Is A Stage,The Fantastic Four
At The Zoo,Simon & Garfunkel
Beggin',"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
Summer Wine,Nancy Sinatra with Lee Hazlewood
Strawberry Fields Forever,The Beatles
Girl Don't Care,Gene Chandler
Daddy's Little Girl,Al Martino
I'll Take Care Of Your Cares,Frankie Laine
I Dig You Baby,Jerry Butler
There Goes My Everything,Jack Greene
"Hey, Leroy, Your Mama's Callin' You",Jimmy Castor
Knight In Rusty Armour,Peter And Gordon
Color My World,Petula Clark
Where Will The Words Come From,Gary Lewis And The Playboys
Look What You've Done,Pozo Seco Singers
Blue Autumn,Bobby Goldsboro
Karate,The Emperor's
Help Me Girl,Eric Burdon & The Animals
Happenings Ten Years Time Ago,The Yardbirds
Mustang Sally,Wilson Pickett
Cry,Ronnie Dove
(Come 'round Here) I'm The One You Need,The Miracles
It's Only Love,Tommy James And The Shondells
A Hazy Shade Of Winter,Simon & Garfunkel
Games That Lovers Play,Eddie Fisher
Holy Cow,Lee Dorsey
"Run, Run, Look And See",Brian Hyland
Don't Answer The Door - Part 1,B.B. King
Go Away Little Girl,The Happenings
Girl On A Swing,Gerry And The Pacemakers
Mind Excursion,The Trade Winds
I Really Don't Want To Know,Ronnie Dove
Summer Samba (So Nice),Walter Wanderley
Yellow Submarine,The Beatles
Suspicions,The Sidekicks
The Philly Freeze,Alvin Cash & The Registers
Money Won't Change You (Part 1),James Brown And The Famous Flames
Warm And Tender Love,Percy Sledge
Sugar And Spice,The Cryan' Shames
I Couldn't Live Without Your Love,Petula Clark
Mothers Little Helper,The Rolling Stones
Distant Shores,Chad & Jeremy
I Saw Her Again,The Mamas & The Papas
Where Were You When I Needed You,The Grass Roots
Popsicle,Jan & Dean
Let's Go Get Stoned,Ray Charles
Younger Girl,The Critters
Younger Girl,The Hondells
Hey Joe,The Leaves
Girl In Love,The Outsiders
I'll Love You Forever,The Holidays
It's A Man's Man's Man's World,James Brown And The Famous Flames
Come On Let's Go,The McCoys
The Sun Ain't Gonna Shine (Anymore),The Walker Bros.
The Ballad Of Irving,Frank Gallop
Evol-Not Love,The Five Americans
Eight Miles High,The Byrds
I'll Take Good Care Of You,Garnet Mimms
The Phoenix Love Theme (Senza Fine),The Brass Ring featuring Phil Bodner
Nowhere Man,The Beatles
Little Latin Lupe Lu,Mitch Ryder And The Detroit Wheels
Sure Gonna Miss Her,Gary Lewis And The Playboys
Walkin' My Cat Named Dog,Norma Tanega
Magic Town,The Vogues
"Shake Me, Wake Me (When It's Over)",Four Tops
Listen People,Herman's Hermits
Batman Theme,The Marketts
Working My Way Back To You,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
When Liking Turns To Loving,Ronnie Dove
Michelle,David & Jonathan
Like A Baby,Len Barry
Feel It,Sam Cooke
The Men In My Little Girl's Life,Mike Douglas
A Must To Avoid,Herman's Hermits
As Tears Go By,The Rolling Stones
I Ain't Gonna Eat Out My Heart Anymore,The Young Rascals
Attack,The Toys
Second Hand Rose,Barbra Streisand
Thunderball,Tom Jones
If You Gotta Make A Fool Of Somebody,Maxine Brown
Ebb Tide,The Righteous Brothers
A Sweet Woman Like You,Joe Tex
You've Been Cheatin',The Impressions
Buckaroo,Buck Owens and The Buckaroos
Seesaw,Don Covay & The Goodtimers
A Time To Love-A Time To Cry (Petite Fleur),Lou Johnson
Sinner Man,Trini Lopez
Ring Dang Doo,Sam The Sham and the Pharaohs
Rusty Bells,Brenda Lee
Positively 4th Street,Bob Dylan
Where Have All The Flowers Gone,Johnny Rivers
Not The Lovin' Kind,"Dino, Desi & Billy"
Steppin' Out,Paul Revere & The Raiders
Home Of The Brave,Jody Miller
Just You,Sonny & Cher
I'll Make All Your Dreams Come True,Ronnie Dove
The World Through A Tear,Neil Sedaka
Action,Freddy Cannon
Summer Nights,Marianne Faithfull
"Sad, Sad Girl",Barbara Mason
Houston,Dean Martin
Moonlight And Roses (Bring Mem'ries Of You),Vic Dana
It's The Same Old Song,Four Tops
Nothing But Heartaches,The Supremes
Sugar Dumpling,Sam Cooke
Only Those In Love,Baby Washington
You'd Better Come Home,Petula Clark
Candy,The Astors
Ride Your Pony,Lee Dorsey
New Orleans,Eddie Hodges
"Theme From ""A Summer Place""",The Lettermen
Nobody Knows What's Goin' On (In My Mind But Me),The Chiffons
Seein' The Right Love Go Wrong,Jack Jones
Little Lonely One,Tom Jones
You Really Know How To Hurt A Guy,Jan & Dean
Before And After,Chad & Jeremy
I Do,The Marvelows
What's He Doing In My World,Eddy Arnold
Engine Engine #9,Roger Miller
And I Love Him,Esther Phillips
Concrete And Clay,Unit Four plus Two
Concrete And Clay,Eddie Rambeau
Queen Of The House,Jody Miller
Something You Got,Chuck Jackson & Maxine Brown
Reelin' And Rockin',The Dave Clark Five
It's Growing,The Temptations
Let's Do The Freddie,Chubby Checker
The Entertainer,Tony Clarke
The Clapping Song (Clap Pat Clap Slap),Shirley Ellis
I Understand (Just How You Feel),Freddie And The Dreamers
When I'm Gone,Brenda Holloway
Girl Don't Come,Sandie Shaw
Come And Stay With Me,Marianne Faithfull
Red Roses For A Blue Lady,Wayne Newton
If I Loved You,Chad & Jeremy
Send Me The Pillow You Dream On,Dean Martin
Mr. Pitiful,Otis Redding
If I Ruled The World,Tony Bennett
Come Home,The Dave Clark Five
Hurt So Bad,Little Anthony And The Imperials
I've Got A Tiger By The Tail,Buck Owens
Goldfinger,Billy Strange
"Bye, Bye, Baby (Baby, Goodbye)","The 4 Seasons Featuring the ""Sound of Frankie Valli"""
"The ""In"" Crowd",Dobie Gray
Heart Of Stone,The Rolling Stones
Whenever A Teenager Cries,Reparata And The Delrons
Look Of Love,Lesley Gore
Give Him A Great Big Kiss,The Shangri-Las
Do What You Do Do Well,Ned Miller
Voice Your Choice,The Radiants
Little Bell,The Dixie Cups
You're Nobody Till Somebody Loves You,Dean Martin
She's A Woman,The Beatles
Hawaii Tattoo,The Waikikis
Lovin' Place,Gale Garnett
Walk Away,Matt Monro
As Tears Go By,Marianne Faithfull
Roses Are Red My Love,"The ""You Know Who"" Group!"
I'm Gonna Love You Too,The Hullaballoos
Saturday Night At The Movies,The Drifters
Everything's Alright,The Newbeats
Is It True,Brenda Lee
If You Want This Love,Sonny Knight
Shaggy Dog,Mickey Lee Lane
I Don't Want To See You Again,Peter And Gordon
I Like It,Gerry And The Pacemakers
I'm Crying,The Animals
Bless Our Love,Gene Chandler
Baby Don't You Do It,Marvin Gaye
I Don't Want To See Tomorrow,Nat King Cole
Death Of An Angel,The Kingsmen
Funny Girl,Barbra Streisand
You'll Never Get To Heaven (If You Break My Heart),Dionne Warwick
Maybelline,Johnny Rivers
You Never Can Tell,Chuck Berry
If I Fell,The Beatles
I've Got No Time To Lose,Carla Thomas
And I Love Her,The Beatles
People Say,The Dixie Cups
Ain't She Sweet,The Beatles
Little Latin Lupe Lu,The Kingsmen
Nobody I Know,Peter And Gordon
I Like It Like That,The Miracles
Farmer John,The Premiers
Do I Love You?,The Ronettes
Share Your Love With Me,Bobby Bland
Alone,The 4 Seasons
Remember Me,Rita Pavone
I'll Be In Trouble,The Temptations
The World I Used To Know,Jimmie Rodgers
The First Night Of The Full Moon,Jack Jones
Yesterday's Gone,Chad & Jeremy
Milord,Bobby Darin
Party Girl,Bernadette Carroll
Once Upon A Time,Marvin Gaye & Mary Wells
Three Window Coupe,The Rip Chords
I Don't Want To Be Hurt Anymore,Nat King Cole
Hurt By Love,Inez Foxx
Wrong For Each Other,Andy Williams
My Girl Sloopy,The Vibrations
That's The Way Boys Are,Lesley Gore
Ebb Tide,Lenny Welch
"Hey, Bobba Needle",Chubby Checker
Ain't Nothing You Can Do,Bobby Bland
Think,Brenda Lee
My Heart Belongs To Only You,Bobby Vinton
I Can't Stand It,Soul Sisters
Castles In The Sand,Little Stevie Wonder
Kissin' Cousins,Elvis Presley With The Jordanaires
Blue Winter,Connie Francis
Can Your Monkey Do The Dog,Rufus Thomas
Long Gone Lonesome Blues,Hank Williams Jr.
Stop And Think It Over,Dale & Grace
Talking About My Baby,The Impressions
"Baby, I Love You",The Ronettes
Whispering,Nino Tempo & April Stevens
I Can't Stop Talking About You,Steve & Eydie
Comin' In The Back Door,The Baja Marimba Band
The Little Boy,Tony Bennett
Watch Your Step,Brooks O'Dell
That Lucky Old Sun,Ray Charles
The Marvelous Toy,The Chad Mitchell Trio
Today's Teardrops,Rick Nelson
For Your Precious Love,Garnet Mimms & The Enchanters
Turn Around,Dick and DeeDee
Baby Don't You Weep,Garnet Mimms & The Enchanters
Walking Proud,Steve Lawrence
Misty,Lloyd Price
Wild!,Dee Dee Sharp
You Lost The Sweetest Boy,Mary Wells
Cross Fire!,The Orlons
A Love So Fine,The Chiffons
"Hello Heartache, Goodbye Love",Little Peggy March
Treat My Baby Good,Bobby Darin
Wham!,Lonnie Mack
Birthday Party,The Pixies Three
Hey There Lonely Boy,Ruby And The Romantics
This Is My Prayer,Theola Kilgore
Please Don't Talk To The Lifeguard,Diane Ray
"Que Sera, Sera (Whatever Will Be, Will Be)",The High Keyes
It Hurts To Be Sixteen,Andrea Carroll
My Whole World Is Falling Down,Brenda Lee
Till Then,The Classics
My True Confession,Brook Benton
Hootenanny,The Glencoves
Don't Say Goodnight And Mean Goodbye,The Shirelles
Harry The Hairy Ape,Ray Stevens
On Top Of Spaghetti,Tom Glazer And The Do-Re-Mi Children's Chorus
(I Love You) Don't You Forget It,Perry Como
I Can't Stop Loving You,Count Basie
String Along,Rick Nelson
Birdland,Chubby Checker
Gypsy Woman,Rick Nelson
If My Pillow Could Talk,Connie Francis
Wildwood Days,Bobby Rydell
I'm Movin' On,Matt Lucas
El Watusi,Ray Barretto
Let's Go Steady Again,Neil Sedaka
Ain't That A Shame!,The 4 Seasons
Two Kind Of Teardrops,Del Shannon
A Love She Can Count On,The Miracles
Locking Up My Heart,The Marvelettes
How Can I Forget,Jimmy Holiday
"Don't Be Afraid, Little Darlin'",Steve Lawrence
All Over The World,Nat King Cole
Yakety Sax,Boots Randolph and his Combo
Laughing Boy,Mary Wells
Why Do Lovers Break Each Other's Heart?,Bob B. Soxx And The Blue Jeans
One Broken Heart For Sale,Elvis Presley With The Mello Men
Meditation (Meditacao),Charlie Byrd
Boss Guitar,Duane Eddy and the Rebelettes
Butterfly Baby,Bobby Rydell
Send Me Some Lovin',Sam Cooke
As Long As She Needs Me,Sammy Davis Jr.
Who Stole The Keeshka?,The Matys Bros.
I'm A Woman,Peggy Lee
Shake Sherry,The Contours
Remember Then,The Earls
Some Kinda Fun,Chris Montez
Trouble Is My Middle Name,Bobby Vinton
Let's Kiss And Make Up,Bobby Vinton
Coney Island Baby,The Excellents
Your Cheating Heart,Ray Charles
The Push And Kick,Mark Valentino
Spanish Lace,Gene McDaniels
I Can't Help It (If I'm Still In Love With You),Johnny Tillotson
Stubborn Kind Of Fellow,Marvin Gaye
I've Got A Woman (Part I),Jimmy McGriff
Mama Sang A Song,Stan Kenton
I Was Such A Fool (To Fall In Love With You),Connie Francis
Love Me Tender,Richard Chamberlain
Twistin' With Linda,The Isley Brothers
Little Black Book,Jimmy Dean
It Might As Well Rain Until September,Carole King
Send Me The Pillow You Dream On,Johnny Tillotson
Your Nose Is Gonna Grow,Johnny Crawford
I Love You The Way You Are,Bobby Vinton
The Boys' Night Out,Patti Page
Stop The Wedding,Etta James
Vacation,Connie Francis
Call Me Mr. In-Between,Burl Ives
Beach Party,King Curtis And The Noble Knights
The Ballad Of Paladin,Duane Eddy
Little Red Rented Rowboat,Joe Dowell
Never In A Million Years,Linda Scott
Theme From Ben Casey,Valjean on Piano
Born To Lose,Ray Charles
Second Hand Love,Connie Francis
Oh My Angel,Bertha Tillman
Doctor Feel-Good,Dr. Feelgood And The Interns
Meet Me At The Twistin' Place,Johnnie Morisette
I Found A Love,The Falcons & Band (Ohio Untouchables)
King Of Clowns,Neil Sedaka
I Will,Vic Dana
Cinderella,Jack Ross
Two Of A Kind,Sue Thompson
Memories Of Maria,Jerry Byrd
Patti Ann,Johnny Crawford
Twistin' Postman,The Marvelettes
I'll See You In My Dreams,Pat Boone
To A Sleeping Beauty,Jimmy Dean
The Greatest Hurt,Jackie Wilson
Shadrack,Brook Benton
Surfer's Stomp,The Marketts
Do-Re-Mi,Lee Dorsey
Twist-Her,Bill Black's Combo
Flying Circle,Frank Slay And His Orchestra
Rock-A-Hula Baby,Elvis Presley With The Jordanaires
Walkin' With My Angel,Bobby Vee
Let's Go Trippin',Dick Dale and The Del-Tones
Up A Lazy River,Si Zentner And His Orchestra
"Well, I Told You",The Chantels
Language Of Love,John D. Loudermilk
I Wanna Thank You,Bobby Rydell
"God, Country And My Baby",Johnny Burnette
Rock-A-Bye Your Baby With A Dixie Melody,Aretha Franklin
Anybody But Me,Brenda Lee
Big John,The Shirelles
(He's My) Dreamboat,Connie Francis
Please Don't Go,Ral Donner
I Really Love You,The Stereos
Bright Lights Big City,Jimmy Reed
It's Your World,Marty Robbins
Don't Get Around Much Anymore,The Belmonts
Big Cold Wind,Pat Boone
Lover's Island,The Blue Jays
I Don't Want To Take A Chance,Mary Wells
One Summer Night,The Diamonds
I'll Be There,Damita Jo
"No, No, No",The Chanters
Should I,The String-A-Longs
Tonight (Could Be The Night),The Velvets featuring Virgil Johnson
I Feel So Bad,Elvis Presley
Little Devil,Neil Sedaka
Nobody Cares (about me),Jeanette (Baby) Washington
What A Surprise,Johnny Maestro The Voice Of The Crests
The Wayward Wind,Gogi Grant
Glory Of Love,The Roommates
I'm In The Mood For Love,The Chimes
Foolin' Around,Kay Starr
Trust In Me,Etta James
Little Boy Sad,Johnny Burnette
Your Friends,Dee Clark
What A Price,Fats Domino
Ram-Bunk-Shush,The Ventures
Pony Time,The Goodtimers
My Empty Arms,Jackie Wilson
(Ghost) Riders In The Sky,Ramrods
What Would I Do,Mickey & Sylvia
Lovey Dovey,Buddy Knox
Ruby,Ray Charles
Ol' Mac Donald,Frank Sinatra
Natural Born Lover,Fats Domino
Ballad Of The Alamo,Bud & Travis
Peter Gunn,Duane Eddy His Twangy Guitar And The Rebels
Somebody To Love,Bobby Darin
Twistin' U.S.A.,Danny & The Juniors
Malagueña,Connie Francis
A Kookie Little Paradise,Jo Ann Campbell
It Only Happened Yesterday,Jack Scott
"The Wreck Of The ""John B""",Jimmie Rodgers
Lisa,Jeanne Black
One Boy,Joanie Sommers
"Wake Me, Shake Me",The Coasters
Something Happened,Paul Anka
Down Yonder,Johnny And The Hurricanes
Lonely Winds,The Drifters
Pink Chiffon,Mitchell Torok
When You Wish Upon A Star,Dion & The Belmonts
The Way Of A Clown,Teddy Randazzo
The Madison Time - Part I,Ray Bryant Combo
The Ties That Bind,Brook Benton
Just A Closer Walk With Thee,Jimmie Rodgers
Clementine,Bobby Darin
Lawdy Miss Clawdy,Gary Stites
Outside My Window,The Fleetwoods
Little Coco Palm,Jerry Wallace
Bonnie Came Back,Duane Eddy His Twangy Guitar And The Rebels
Little Things Mean A Lot,Joni James
Honey Hush,Joe Turner
No Love Have I,Webb Pierce
Just Come Home,Hugo & Luigi
I Don't Know What It Is,The Bluenotes
Mighty Good,Ricky Nelson
(New In) The Ways Of Love,Tommy Edwards
Happy Anniversary,Jane Morgan
One More Chance,Rod Bernard
Smooth Operator,Sarah Vaughan
Tiny Tim,LaVern Baker
I've Been Around,Fats Domino
"First Love, First Tears",Duane Eddy His Twangy Guitar And The Rebels
Tucumcari,Jimmie Rodgers
Fools Hall Of Fame,Pat Boone
Where,The Platters
Somethin Else,Eddie Cochran
Okefenokee,Freddie Cannon
True True Happiness,Johnny Tillotson
Like I Love You,Edd Byrnes and Friend
Ten Thousand Drums,Carl Smith
Ragtime Cowboy Joe,David Seville And The Chipmunks
Remember When,The Platters
I Know,Perry Como
Velvet Waters,The Megatrons
You Made Me Love You,Nat King Cole
A String Of Trumpets,The Trumpeteers
Bonaparte's Retreat,Billy Grammer
"""Yep!""",Duane Eddy His Twangy Guitar And The Rebels
I Miss You So,Paul Anka
Tomboy,Perry Como
Telling Lies,Fats Domino
Midnight Oil,Charlie Blackwell
Plain Jane,Bobby Darin
Ambrose (Part Five),Linda Laurie
The Shag (Is Totally Cool),Billy Graves
Who Cares,Don Gibson
Trust In Me,Patti Page
The Worryin' Kind,Tommy Sands And The Raiders
Let's Love,Johnny Mathis
Teasin',Quaker City Boys
Sweet Little Rock And Roller,Chuck Berry
The Day The Rains Came,Raymond Lefevre and His Orchestra
Guaglione,Perez Prado And His Orchestra
No One But You (In My Heart),The Ames Brothers
Leave Me Alone (Let Me Cry),Dicky Doo And The Don'ts
Fibbin',Patti Page
"Nine More Miles (The ""Faster-Faster"" Song)",Georgie Young
"Gee, But It's Lonely",Pat Boone
Dance Everyone Dance,Betty Madigan
Come Closer To Me (Acercate Mas),Nat King Cole
Betty Lou Got A New Pair Of Shoes,Bobby Freeman
A Certain Smile,Johnny Mathis
When,Kalin Twins
Moon Talk,Perry Como
Early In The Morning,The Rinky-Dinks
Way 2 Sexy,Drake Featuring Future & Young Thug
